instance,seed,success,wall_time_s,INITIAL_PENALTY_A,INITIAL_PENALTY_B,INITIAL_PENALTY_C,FINAL_PENALTY_A,FINAL_PENALTY_B,FINAL_PENALTY_C,EMPTY_HOSTS_INITIAL,EMPTY_HOSTS_FINAL,MIGRATIONS,RUNTIME_MS,error
smoke_h8_v5_s1,42,True,1.55,8,24,0,8,24,0,0,0,7,918,
tenant_h10_v8_s1,42,True,2.41,10,30,0,6,42,0,0,0,38,1661,
tenant_h10_v8_s2,42,True,3.45,10,30,0,3,51,0,0,0,47,2755,
tenant_h10_v8_s3,42,True,1.99,10,30,0,10,30,0,0,0,7,998,
tenant_h15_v10_s1,42,True,2.87,15,45,0,14,48,0,0,0,18,2080,
tenant_h15_v10_s2,42,True,2.69,15,45,0,14,48,0,0,0,18,1789,
tenant_h15_v10_s3,42,True,2.06,15,45,0,14,48,0,0,0,16,1344,
tenant_h20_v12_s1,42,True,5.7,20,60,0,10,90,0,0,0,130,5004,
tenant_h20_v12_s2,42,True,5.83,20,60,0,13,81,0,0,0,69,5004,
tenant_h20_v12_s3,42,True,2.84,20,60,0,19,63,0,0,0,21,2053,
